,x,y
0,147,17
1,148,17
2,147,18
3,148,18
4,174,18
5,120,19
6,147,19
7,148,19
8,149,19
9,174,19
10,175,19
11,120,20
12,147,20
13,148,20
14,149,20
15,174,20
16,120,21
17,147,21
18,148,21
19,149,21
20,174,21
21,120,22
22,147,22
23,148,22
24,149,22
25,174,22
26,120,23
27,147,23
28,148,23
29,149,23
30,174,23
31,120,24
32,147,24
33,148,24
34,149,24
35,120,25
36,121,25
37,147,25
38,148,25
39,149,25
40,150,25
41,174,25
42,120,26
43,147,26
44,148,26
45,149,26
46,174,26
47,120,27
48,147,27
49,148,27
50,120,28
51,121,28
52,147,28
53,148,28
54,147,29
55,148,29
56,149,29
57,120,30
58,147,30
59,148,30
60,149,30
61,120,31
62,121,31
63,147,31
64,148,31
65,149,31
66,120,32
67,121,32
68,147,32
69,148,32
70,149,32
71,147,42
72,148,42
73,149,42
74,147,43
75,148,43
76,149,43
77,147,44
78,148,44
79,149,44
80,175,44
81,176,44
82,147,45
83,148,45
84,149,45
85,150,45
86,174,45
87,175,45
88,176,45
89,177,45
90,229,45
91,230,45
92,146,46
93,147,46
94,148,46
95,149,46
96,150,46
97,174,46
98,175,46
99,176,46
100,177,46
101,229,46
102,230,46
103,121,47
104,122,47
105,123,47
106,124,47
107,146,47
108,147,47
109,148,47
110,149,47
111,150,47
112,174,47
113,175,47
114,176,47
115,177,47
116,229,47
117,230,47
118,121,48
119,122,48
120,123,48
121,146,48
122,147,48
123,148,48
124,149,48
125,150,48
126,174,48
127,175,48
128,176,48
129,177,48
130,229,48
131,230,48
132,95,49
133,96,49
134,120,49
135,121,49
136,122,49
137,123,49
138,124,49
139,146,49
140,147,49
141,148,49
142,149,49
143,150,49
144,173,49
145,174,49
146,175,49
147,176,49
148,177,49
149,229,49
150,230,49
151,231,49
152,95,50
153,96,50
154,120,50
155,121,50
156,122,50
157,123,50
158,124,50
159,146,50
160,147,50
161,148,50
162,149,50
163,150,50
164,173,50
165,174,50
166,175,50
167,176,50
168,177,50
169,229,50
170,230,50
171,231,50
172,95,51
173,96,51
174,120,51
175,121,51
176,122,51
177,123,51
178,146,51
179,147,51
180,148,51
181,149,51
182,150,51
183,173,51
184,174,51
185,175,51
186,176,51
187,177,51
188,229,51
189,230,51
190,231,51
191,95,52
192,96,52
193,121,52
194,122,52
195,123,52
196,146,52
197,147,52
198,148,52
199,149,52
200,150,52
201,174,52
202,175,52
203,176,52
204,177,52
